AsOfDate,NDX Index,SPX Index,SPMARC5P Index
2024-10-16,20174.05,5842.47,388.51
2024-10-17,20190.42,5841.47,388.14
2024-10-18,20324.04,5864.67,389.42
2024-10-21,20361.47,5853.98,388.28
2024-10-22,20383.65,5851.2,388.55
2024-10-23,20066.96,5797.42,386.33
2024-10-24,20232.87,5809.86,387.53
2024-10-25,20352.02,5808.12,387.29
2024-10-28,20351.07,5823.52,386.9
2024-10-29,20550.65,5832.92,387.85
2024-10-30,20387.7,5813.67,388.05
2024-10-31,19890.42,5705.45,384.51
2024-11-01,20033.14,5728.8,384.08
2024-11-04,19963.6,5712.69,384.32
2024-11-05,20227.46,5782.76,385.44
2024-11-06,20781.33,5929.04,383.94
2024-11-07,21101.57,5973.1,386.47
2024-11-08,21117.18,5995.54,386.63
2024-11-11,21106.59,6001.35,384.09
2024-11-12,21070.79,5983.99,382.76
