HedgeDt,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
2023-09-01,GIUL21,INXFEE,0.0403,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-09-01,GIUL21,MARPRT,0.0222,2.2,9.9999,0.0,0.0,0.0,0.0,0.0
2023-09-01,GIUL21,NASIDX,0.0497,1.0,0.095,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL14NY,INDEX,0.0486,1.0,0.085,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL14NY,INX150,0.0316,1.0,0.07,0.015,0.0,0.0,0.0,0.0
2023-09-01,IUL14NY,INXFEE,0.0463,1.0,9.9999,0.0,0.0,0.0775,0.0,0.0
2023-09-01,IUL14NY,INXSPC,0.046,1.0,9.9999,0.0,0.065,0.0,0.0,0.0
2023-09-01,IUL14BNY,INDEX,0.045,1.0,0.0775,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL14BNY,INX150,0.025,1.0,0.0575,0.015,0.0,0.0,0.0,0.0
2023-09-01,IUL14BNY,INXFEE,0.0417,1.0,9.9999,0.0,0.0,0.087,0.0,0.0
2023-09-01,IUL14BNY,INXSPC,0.0404,1.0,9.9999,0.0,0.057,0.0,0.0,0.0
2023-10-01,IUL08,INDEX,0.0541,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL14,INDEX,0.0541,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL14,INX150,0.0388,1.0,0.085,0.015,0.0,0.0,0.0,0.0
2023-10-01,IUL14,INXFEE,0.0409,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-10-01,IUL14,INXSPC,0.0541,1.0,9.9999,0.0,0.075,0.0,0.0,0.0
2023-10-01,IUL14B,INDEX,0.0425,1.0,0.0725,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL14B,INX150,0.0263,1.0,0.06,0.015,0.0,0.0,0.0,0.0
2023-10-01,IUL14B,INXFEE,0.0362,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-10-01,IUL14B,INXSPC,0.0433,1.0,9.9999,0.0,0.06,0.0,0.0,0.0
2023-10-01,IUL19,INDEX,0.0541,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL19,INXFEE,0.0409,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-10-01,IUL19,INXHIM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-10-01,IUL19,INXLOM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-10-01,IUL21,MARPRT,0.0223,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL21,NASIDX,0.0538,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL21,INDEX,0.0561,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL21,INXFEE,0.0409,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-10-01,IUL21,INXHIM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-10-01,IUL21,INXLOM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-10-01,IUL23,MARPRT,0.0223,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL23,NASIDX,0.0528,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL23,INDEX,0.0551,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL23,INXFEE,0.0409,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-10-01,IUL23,INXHIM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-10-01,IUL23,INXLOM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-10-01,GIUL21,INDEX,0.0519,1.0,0.0925,0.0,0.0,0.0,0.0,0.0
2023-10-01,GIUL21,INXFEE,0.0362,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-10-01,GIUL21,MARPRT,0.0223,2.2,9.9999,0.0,0.0,0.0,0.0,0.0
2023-10-01,GIUL21,NASIDX,0.0495,1.0,0.0925,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL14NY,INDEX,0.0485,1.0,0.085,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL14NY,INX150,0.0315,1.0,0.07,0.015,0.0,0.0,0.0,0.0
2023-10-01,IUL14NY,INXFEE,0.0421,1.0,9.9999,0.0,0.0,0.0775,0.0,0.0
2023-10-01,IUL14NY,INXSPC,0.0469,1.0,9.9999,0.0,0.065,0.0,0.0,0.0
2023-10-01,IUL14BNY,INDEX,0.0449,1.0,0.0775,0.0,0.0,0.0,0.0,0.0
2023-10-01,IUL14BNY,INX150,0.025,1.0,0.0575,0.015,0.0,0.0,0.0,0.0
2023-10-01,IUL14BNY,INXFEE,0.0376,1.0,9.9999,0.0,0.0,0.087,0.0,0.0
2023-10-01,IUL14BNY,INXSPC,0.0411,1.0,9.9999,0.0,0.057,0.0,0.0,0.0
2023-11-01,IUL08,INDEX,0.0539,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL14,INDEX,0.0539,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL14,INX150,0.0386,1.0,0.085,0.015,0.0,0.0,0.0,0.0
2023-11-01,IUL14,INXFEE,0.0463,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-11-01,IUL14,INXSPC,0.0529,1.0,9.9999,0.0,0.075,0.0,0.0,0.0
2023-11-01,IUL14B,INDEX,0.0421,1.0,0.0725,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL14B,INX150,0.0261,1.0,0.06,0.015,0.0,0.0,0.0,0.0
2023-11-01,IUL14B,INXFEE,0.0416,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-11-01,IUL14B,INXSPC,0.0423,1.0,9.9999,0.0,0.06,0.0,0.0,0.0
2023-11-01,IUL19,INDEX,0.0539,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL19,INXFEE,0.0463,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-11-01,IUL19,INXHIM,0.063,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-11-01,IUL19,INXLOM,0.063,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-11-01,IUL21,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL21,NASIDX,0.0541,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL21,INDEX,0.0561,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL21,INXFEE,0.0463,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-11-01,IUL21,INXHIM,0.063,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-11-01,IUL21,INXLOM,0.063,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-11-01,IUL23,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
