HedgeDate,Product_Detail,Indicator,Budget
3/1/2024,IUL19,INDEX,0.0517
3/1/2024,IUL19,INXFEE,0.0346
3/1/2024,IUL19,INXHIM,0.0593
3/1/2024,IUL19,INXLOM,0.0593
3/1/2024,IUL21,INDEX,0.0536
3/1/2024,IUL21,INXFEE,0.0346
3/1/2024,IUL21,INXHIM,0.0593
3/1/2024,IUL21,INXLOM,0.0593
3/1/2024,IUL21,MARPRT,0.0224
3/1/2024,IUL21,NASIDX,0.053
3/1/2024,IUL23,INDEX,0.0527
3/1/2024,IUL23,INXFEE,0.0346
3/1/2024,IUL23,INXHIM,0.0593
3/1/2024,IUL23,INXLOM,0.0593
3/1/2024,IUL23,MARPRT,0.0224
3/1/2024,IUL23,NASIDX,0.052
4/1/2024,GIUL21,INDEX,0.0502
4/1/2024,GIUL21,INXFEE,0.0333
4/1/2024,GIUL21,MARPRT,0.0227
4/1/2024,GIUL21,NASIDX,0.0456
4/1/2024,IUL08,INDEX,0.0522
4/1/2024,IUL14,INDEX,0.0522
4/1/2024,IUL14,INX150,0.0374
4/1/2024,IUL14,INXFEE,0.0376
4/1/2024,IUL14,INXSPC,0.0544
4/1/2024,IUL14B,INDEX,0.0413
4/1/2024,IUL14B,INX150,0.0256
4/1/2024,IUL14B,INXFEE,0.0333
4/1/2024,IUL14B,INXSPC,0.0435
4/1/2024,IUL14BNY,INDEX,0.0436
4/1/2024,IUL14BNY,INX150,0.0244
4/1/2024,IUL14BNY,INXFEE,0.0346
4/1/2024,IUL14BNY,INXSPC,0.0413
4/1/2024,IUL14NY,INDEX,0.047
4/1/2024,IUL14NY,INX150,0.0305
4/1/2024,IUL14NY,INXFEE,0.0388
4/1/2024,IUL14NY,INXSPC,0.0471
4/1/2024,IUL19,INDEX,0.0522
4/1/2024,IUL19,INXFEE,0.0376
4/1/2024,IUL19,INXHIM,0.06
4/1/2024,IUL19,INXLOM,0.06
4/1/2024,IUL21,INDEX,0.0541
4/1/2024,IUL21,INXFEE,0.0376
4/1/2024,IUL21,INXHIM,0.06
4/1/2024,IUL21,INXLOM,0.06
4/1/2024,IUL21,MARPRT,0.0227
4/1/2024,IUL21,NASIDX,0.0496
4/1/2024,IUL23,INDEX,0.0532
4/1/2024,IUL23,INXFEE,0.0376
4/1/2024,IUL23,INXHIM,0.06
4/1/2024,IUL23,INXLOM,0.06
4/1/2024,IUL23,MARPRT,0.0227
4/1/2024,IUL23,NASIDX,0.0486
5/1/2024,GIUL21,INDEX,0.0493
5/1/2024,GIUL21,INXFEE,0.0351
5/1/2024,GIUL21,MARPRT,0.0227
5/1/2024,GIUL21,NASIDX,0.0479
5/1/2024,IUL08,INDEX,0.0513
5/1/2024,IUL14,INDEX,0.0513
5/1/2024,IUL14,INX150,0.0367
5/1/2024,IUL14,INXFEE,0.0394
5/1/2024,IUL14,INXSPC,0.0543
5/1/2024,IUL14B,INDEX,0.0406
5/1/2024,IUL14B,INX150,0.0252
5/1/2024,IUL14B,INXFEE,0.0351
5/1/2024,IUL14B,INXSPC,0.0435
5/1/2024,IUL14BNY,INDEX,0.0436
5/1/2024,IUL14BNY,INX150,0.0244
5/1/2024,IUL14BNY,INXFEE,0.0346
5/1/2024,IUL14BNY,INXSPC,0.0413
5/1/2024,IUL14NY,INDEX,0.047
5/1/2024,IUL14NY,INX150,0.0305
5/1/2024,IUL14NY,INXFEE,0.0388
5/1/2024,IUL14NY,INXSPC,0.0471
5/1/2024,IUL19,INDEX,0.0513
5/1/2024,IUL19,INXFEE,0.0394
5/1/2024,IUL19,INXHIM,0.059
5/1/2024,IUL19,INXLOM,0.059
5/1/2024,IUL21,INDEX,0.0532
5/1/2024,IUL21,INXFEE,0.0394
5/1/2024,IUL21,INXHIM,0.059
5/1/2024,IUL21,INXLOM,0.059
5/1/2024,IUL21,MARPRT,0.0227
5/1/2024,IUL21,NASIDX,0.052
5/1/2024,IUL23,INDEX,0.0523
5/1/2024,IUL23,INXFEE,0.0394
5/1/2024,IUL23,INXHIM,0.059
5/1/2024,IUL23,INXLOM,0.059
5/1/2024,IUL23,MARPRT,0.0227
5/1/2024,IUL23,NASIDX,0.051
6/3/2024,GIUL21,INDEX,0.0498
6/3/2024,GIUL21,INXFEE,0.0384
6/3/2024,GIUL21,MARPRT,0.0225
6/3/2024,GIUL21,NASIDX,0.0481
6/3/2024,IUL08,INDEX,0.0519
6/3/2024,IUL14,INDEX,0.0519
6/3/2024,IUL14,INX150,0.0371
6/3/2024,IUL14,INXFEE,0.0428
6/3/2024,IUL14,INXSPC,0.0539
6/3/2024,IUL14B,INDEX,0.0409
6/3/2024,IUL14B,INX150,0.0254
6/3/2024,IUL14B,INXFEE,0.0384
6/3/2024,IUL14B,INXSPC,0.0431
6/3/2024,IUL14BNY,INDEX,0.0436
6/3/2024,IUL14BNY,INX150,0.0244
6/3/2024,IUL14BNY,INXFEE,0.0346
6/3/2024,IUL14BNY,INXSPC,0.0413
6/3/2024,IUL14NY,INDEX,0.047
6/3/2024,IUL14NY,INX150,0.0305
6/3/2024,IUL14NY,INXFEE,0.0388
6/3/2024,IUL14NY,INXSPC,0.0471
6/3/2024,IUL19,INDEX,0.0519
6/3/2024,IUL19,INXFEE,0.0428
6/3/2024,IUL19,INXHIM,0.06
6/3/2024,IUL19,INXLOM,0.06
6/3/2024,IUL21,INDEX,0.0548
6/3/2024,IUL21,INXFEE,0.0428
6/3/2024,IUL21,INXHIM,0.06
6/3/2024,IUL21,INXLOM,0.06
6/3/2024,IUL21,MARPRT,0.0225
6/3/2024,IUL21,NASIDX,0.0533
6/3/2024,IUL23,INDEX,0.0548
6/3/2024,IUL23,INXFEE,0.0428
6/3/2024,IUL23,INXHIM,0.06
6/3/2024,IUL23,INXLOM,0.06
6/3/2024,IUL23,MARPRT,0.0225
6/3/2024,IUL23,NASIDX,0.0533
7/1/2024,GIUL21,INDEX,0.049
7/1/2024,GIUL21,INXFEE,0.0318
7/1/2024,GIUL21,MARPRT,0.0225
7/1/2024,GIUL21,NASIDX,0.0474
7/1/2024,IUL08,INDEX,0.051
7/1/2024,IUL14,INDEX,0.051
7/1/2024,IUL14,INX150,0.0365
7/1/2024,IUL14,INXFEE,0.036
7/1/2024,IUL14,INXSPC,0.0553
7/1/2024,IUL14B,INDEX,0.0404
7/1/2024,IUL14B,INX150,0.0251
7/1/2024,IUL14B,INXFEE,0.0318
7/1/2024,IUL14B,INXSPC,0.0442
7/1/2024,IUL14BNY,INDEX,0.0436
7/1/2024,IUL14BNY,INX150,0.0244
7/1/2024,IUL14BNY,INXFEE,0.0346
7/1/2024,IUL14BNY,INXSPC,0.0413
7/1/2024,IUL14NY,INDEX,0.047
7/1/2024,IUL14NY,INX150,0.0305
7/1/2024,IUL14NY,INXFEE,0.0388
7/1/2024,IUL14NY,INXSPC,0.0471
7/1/2024,IUL19,INDEX,0.051
7/1/2024,IUL19,INXFEE,0.036
7/1/2024,IUL19,INXHIM,0.0585
7/1/2024,IUL19,INXLOM,0.0585
7/1/2024,IUL21,INDEX,0.0528
7/1/2024,IUL21,INXFEE,0.036
7/1/2024,IUL21,INXHIM,0.0585
7/1/2024,IUL21,INXLOM,0.0585
7/1/2024,IUL21,MARPRT,0.0225
7/1/2024,IUL21,NASIDX,0.0514
7/1/2024,IUL23,INDEX,0.0519
7/1/2024,IUL23,INXFEE,0.036
7/1/2024,IUL23,INXHIM,0.0585
7/1/2024,IUL23,INXLOM,0.0585
7/1/2024,IUL23,MARPRT,0.0225
7/1/2024,IUL23,NASIDX,0.0504
8/1/2024,GIUL21,INDEX,0.0496
8/1/2024,GIUL21,INXFEE,0.0311
8/1/2024,GIUL21,MARPRT,0.0228
8/1/2024,GIUL21,NASIDX,0.0479
8/1/2024,GIUL23,INDEX,0.0506
8/1/2024,GIUL23,INXFEE,0.0311
8/1/2024,GIUL23,MARPRT,0.0228
8/1/2024,GIUL23,NASIDX,0.049
8/1/2024,IUL08,INDEX,0.0515
8/1/2024,IUL14,INDEX,0.0515
8/1/2024,IUL14,INX150,0.0369
8/1/2024,IUL14,INXFEE,0.0354
8/1/2024,IUL14,INXSPC,0.0551
8/1/2024,IUL14B,INDEX,0.0409
8/1/2024,IUL14B,INX150,0.0347
8/1/2024,IUL14B,INXFEE,0.0311
8/1/2024,IUL14B,INXSPC,0.0441
