HedgeDate,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
11/1/2023,IUL21,INXLOM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
11/1/2023,IUL23,MARPRT,0.0222,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL23,NASIDX,0.0530,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL23,INDEX,0.0550,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL23,INXFEE,0.0463,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
11/1/2023,IUL23,INXHIM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
11/1/2023,IUL23,INXLOM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
11/1/2023,GIUL21,INDEX,0.0517,1.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,GIUL21,INXFEE,0.0416,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
11/1/2023,GIUL21,MARPRT,0.0222,2.2000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,GIUL21,NASIDX,0.0496,1.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14NY,INDEX,0.0482,1.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14NY,INX150,0.0313,1.0000,0.0700,0.0150,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14NY,INXFEE,0.0476,1.0000,9.9999,0.0000,0.0000,0.0775,0.0000,0.0000
11/1/2023,IUL14NY,INXSPC,0.0459,1.0000,9.9999,0.0000,0.0650,0.0000,0.0000,0.0000
11/1/2023,IUL14BNY,INDEX,0.0446,1.0000,0.0775,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14BNY,INX150,0.0247,1.0000,0.0575,0.0150,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14BNY,INXFEE,0.0430,1.0000,9.9999,0.0000,0.0000,0.0870,0.0000,0.0000
11/1/2023,IUL14BNY,INXSPC,0.0402,1.0000,9.9999,0.0000,0.0570,0.0000,0.0000,0.0000
